Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual,Predicted Probability
2023,CB,Secondary,Iowa,Big Ten,72.0,205,9.25,31.875,77.125,4.62,35.5,18,118.0,6.99,4.17,1,1748,7.409,67.111,21.369,88.288,70.495,0.0,0,0,0,0.36521913051571514
2023,WR,Skill,Maryland,Big Ten,75.0,212,9.75,34.25,79.625,4.57,35.5,19,123.0,6.95,4.39,1,1645,7.842,61.934,61.039,57.849,51.968,0.0,0,0,0,0.28934859322697526
2025,OT,OL,Texas,SEC,77.125,315,10.375,33.5,84.375,5.16,32.0,14,104.0,7.81,4.66,1,2042,26.107,88.25,73.85,92.32,35.538,5.5215,0,1,1,0.8521223281414172
2024,LB,LB,Kentucky,SEC,73.125,237,9.125,32.625,79.125,4.51,37.5,18,127.0,7.35,5.1,1,1641,7.33,63.962,60.477,61.626,52.112,5.2311,0,0,1,0.724341431007109
2023,IOL,OL,Alabama,SEC,74.625,314,9.5,33.875,82.625,5.21,29.0,20,107.0,7.77,4.76,0,2181,27.296,89.526,85.539,81.093,61.676,0.0,1,0,0,0.4598684789145509
2025,WR,Skill,Arizona,Big 12,76.125,219,10.0,31.5,77.875,4.68,32.15,15,121.5,6.94,4.19,0,1307,-3.385,38.477,43.057,38.791,48.852,5.5255,0,1,1,0.6758808981946167
2024,DL,DL,Florida St.,ACC,75.625,292,9.375,31.0,76.75,4.78,33.5,26,117.0,8.12,4.37,1,1789,19.915,83.68,70.051,84.429,58.266,5.3936,0,0,1,0.7724691532076727
2024,CB,Secondary,Penn St.,Big Ten,71.25,191,8.75,30.875,74.25,4.61,37.0,15,122.0,6.94,4.16,1,2000,25.618,85.731,66.931,89.424,64.921,1.3863,1,0,1,0.7140746787379263
2024,EDGE,DL,Kansas,Big 12,76.5,240,9.25,33.875,81.375,4.79,32.5,23,120.0,7.55,4.93,1,1679,9.088,72.867,82.476,54.769,44.984,4.7449,0,0,1,0.6811914712697568
2023,WR,Skill,Maryland,Big Ten,71.875,192,9.375,31.375,75.875,4.44,35.5,13,123.0,6.93,4.29,1,1645,7.842,61.934,61.039,57.849,51.968,0.0,0,0,0,0.3443995173474424
2023,WR,Skill,Cincinnati,AAC,70.0,177,9.0,30.875,72.75,4.44,39.5,14,133.0,6.92,4.29,1,1690,6.451,60.989,44.607,64.989,69.829,4.8363,0,0,1,0.799749729069308
2025,DL,DL,Toldeo,MAC,75.875,305,10.0,34.0,82.875,4.95,31.5,28,111.0,7.6,4.79,1,1431,-5.318,43.159,33.851,52.717,56.909,5.2679,0,0,1,0.6743466769536174
2024,S,Secondary,Georgia,SEC,70.0,202,9.25,31.625,74.75,4.46,36.0,18,120.0,6.99,4.87,1,2273,24.777,87.417,88.149,74.455,48.128,5.1358,1,0,1,0.744287380539765
2024,LB,LB,North Carolina St.,ACC,75.875,233,9.0,30.5,75.75,4.43,34.5,18,119.0,7.29,4.43,1,1660,6.943,65.952,47.142,75.741,57.991,5.0814,0,1,1,0.7881890326025216
2024,RB,Skill,Notre Dame,FBS Independent,71.375,221,10.25,32.375,76.5,4.71,38.0,23,125.0,7.0,4.25,1,2077,20.776,83.947,78.304,77.941,57.082,4.7185,1,0,1,0.8004502411209795
2024,CB,Secondary,Louisville,ACC,70.375,194,9.0,31.25,75.25,4.49,38.0,15,126.0,6.94,3.94,0,1688,11.36,72.759,63.856,75.697,45.123,4.7274,0,0,1,0.7682127363346455
2023,EDGE,DL,Missouri,SEC,76.0,268,8.625,33.875,82.0,4.76,36.5,25,122.0,7.39,4.52,1,1470,2.559,59.03,42.751,69.711,55.263,4.8903,0,0,1,0.7273875971184928
2023,P,Special Teams,Rutgers,Big Ten,73.0,187,8.75,29.375,74.875,4.83,34.0,20,109.0,7.27,4.44,0,1182,-7.796,37.79,17.459,59.793,63.719,0.0,0,0,0,0.3178143503812393
2023,DL,DL,Wisconsin,Big Ten,75.75,309,9.75,33.875,81.5,5.08,29.5,25,111.0,7.34,4.65,1,1706,8.148,60.996,54.436,68.136,36.997,5.3471,0,0,1,0.7837836257422726
2025,RB,Skill,Kansas,Big 12,71.125,213,8.5,29.5,71.75,4.58,37.5,11,124.0,6.65,4.03,1,1625,8.755,66.926,75.105,52.224,46.186,4.3175,0,0,1,0.679306367330734
2023,QB,Skill,TCU,Big 12,73.5,207,9.875,31.375,73.375,4.52,30.5,20,116.0,7.26,4.45,1,1729,14.378,80.5,80.39,69.518,54.974,2.9957,0,1,1,0.7820268628247312
2025,IOL,OL,Georgia,SEC,79.125,309,10.5,33.0,82.875,5.24,26.0,11,103.0,8.19,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,0.0,1,0,0,0.45453963675578785
2023,TE,Skill,Purdue,Big Ten,77.625,253,9.75,33.375,80.375,4.87,34.5,21,117.0,7.42,4.26,1,1460,4.283,58.947,63.872,51.004,46.438,4.4773,0,0,1,0.7006479775460392
2023,RB,Skill,East Carolina,AAC,67.875,179,9.25,30.75,74.75,4.37,38.0,20,126.0,7.33,4.77,1,1509,1.775,54.675,70.734,39.058,37.309,0.0,0,0,0,0.4069245867479437
2023,IOL,OL,Eastern Michigan,MAC,76.75,323,10.375,33.625,81.0,5.07,32.0,20,110.0,7.62,4.69,1,1400,-9.685,38.544,49.579,30.302,55.951,4.9558,0,0,1,0.6801584997891271
2023,WR,Skill,Nebraska,Big Ten,72.0,192,9.625,31.875,76.125,4.33,36.5,16,126.0,6.93,4.29,1,1532,-0.651,40.694,43.713,40.707,51.926,4.2195,0,0,1,0.7557160739514568
2023,TE,Skill,Clemson,ACC,77.875,245,10.0,32.25,79.75,4.84,38.5,21,125.0,6.92,4.29,1,1843,17.553,74.958,64.744,77.07,48.641,4.4308,0,0,1,0.7928205450476469
2023,QB,Skill,Ohio St.,Big Ten,75.0,214,10.0,32.625,77.375,4.59,34.5,20,119.0,7.09,4.35,0,2107,25.771,88.337,91.467,71.506,49.437,5.5491,0,1,1,0.8051298628679838
2023,OT,OL,Tennessee,SEC,77.0,333,9.0,33.75,82.0,5.01,29.0,20,114.0,7.6,4.65,1,2000,22.728,84.959,90.062,58.984,68.61,5.5175,0,1,1,0.8657831939936552
2023,RB,Skill,UCLA,Pac-12,72.375,214,9.875,32.0,75.625,4.53,37.0,20,122.0,6.87,4.35,1,1684,8.553,65.594,81.525,44.786,34.94,5.3327,0,0,1,0.6597630099244899
2024,RB,Skill,South Dakota St.,MVFC,72.25,218,10.25,31.125,74.875,4.57,34.5,23,119.0,7.02,4.25,1,1750,11.631,68.684,64.533,64.265,53.523,4.4543,0,0,1,0.725055631992144
2024,EDGE,DL,Michigan,Big Ten,75.75,250,9.75,33.25,81.125,4.68,37.0,23,118.0,7.33,4.64,1,2210,27.625,94.395,88.226,91.352,54.858,1.9459,0,0,1,0.8179307782065872
2023,OT,OL,Utah,Pac-12,76.0,294,9.375,33.0,81.875,4.99,30.5,20,109.0,7.53,4.6,1,1915,19.146,79.905,74.866,74.068,53.378,4.9488,0,0,1,0.7929652940142077
2024,WR,Skill,Washington,Pac-12,74.875,212,9.25,32.25,76.75,4.45,39.0,15,124.0,6.88,4.03,1,1879,17.544,82.666,86.101,64.802,60.593,5.5215,0,1,1,0.8120674560196223
2023,IOL,OL,Florida,SEC,77.0,330,11.25,33.875,83.875,5.31,23.5,20,101.0,7.99,4.81,1,1581,7.555,60.994,69.396,49.078,49.533,5.2983,0,0,1,0.6504412112278319
2023,C,OL,Oregon,Pac-12,76.0,303,10.25,32.75,81.375,5.24,20.5,20,95.0,8.08,4.92,1,1724,14.225,78.17,81.614,63.631,42.699,0.6931,0,0,1,0.5645014101241127
2023,QB,Skill,UCLA,Pac-12,73.625,203,9.875,30.625,74.75,4.56,32.5,20,121.0,7.28,4.44,1,1684,8.553,65.594,81.525,44.786,34.94,4.7791,0,0,1,0.6625048941737315
2023,OT,OL,Alabama,SEC,78.0,321,10.5,32.75,80.5,5.16,29.5,20,109.0,7.6,4.59,1,2181,27.296,89.526,85.539,81.093,61.676,5.2679,1,0,1,0.8467646623108281
2023,LS,Special Teams,Central Florida,AAC,76.0,240,9.625,30.375,78.375,5.06,30.0,12,114.0,7.27,4.46,1,1551,6.904,61.732,66.565,49.575,55.483,0.0,0,0,0,0.21420141129441644
2025,QB,Skill,Lousiville,ACC,76.875,219,9.675,30.625,76.5,4.63,32.0,22,117.0,6.65,4.03,1,1809,16.534,79.476,79.126,66.823,61.497,5.3891,0,0,1,0.7680158593806037
2025,QB,Skill,Florida,SEC,75.375,212,9.625,31.25,76.5,4.28,43.0,22,93.0,7.41,4.97,0,1767,11.901,71.717,58.466,70.419,67.15,4.1271,0,0,1,0.7417378091419259
2025,IOL,OL,Alabama,SEC,76.625,321,11.0,34.5,83.5,5.38,27.0,21,94.0,7.96,4.84,1,1986,23.933,85.057,77.281,79.955,59.628,5.5094,1,0,1,0.8100675304090419
2024,EDGE,DL,Alabama,SEC,75.375,251,9.375,33.25,81.375,4.6,33.5,23,115.0,7.33,4.81,1,2032,24.925,84.968,76.211,80.844,61.941,5.3083,0,0,1,0.8456386016675277
2025,DL,DL,Texas,SEC,77.0,311,9.25,35.0,83.875,5.45,43.0,33,138.0,8.19,4.03,0,2042,26.107,88.25,73.85,92.32,35.538,5.2364,0,0,1,0.7986279609096956
2025,LB,LB,Penn State,Big Ten,72.625,236,9.5,31.25,78.625,4.35,41.58,33,110.0,7.43,4.97,0,2063,20.037,81.11,80.469,75.103,36.924,4.0604,0,0,1,0.8129619014722512
2023,DL,DL,Baylor,Big 12,74.875,335,10.25,32.375,75.875,5.39,28.0,26,101.0,7.8,4.99,1,1672,9.044,61.65,66.688,55.36,37.032,5.0814,0,0,1,0.6255374418358199
2024,LB,LB,Indiana,Big Ten,72.875,231,9.375,32.75,77.875,4.75,30.0,16,117.0,7.24,4.55,1,1343,-2.761,41.79,48.141,38.489,51.284,0.0,1,0,0,0.23450799969447475
2023,WR,Skill,SMU,AAC,73.0,204,9.5,32.75,77.375,4.51,41.0,17,128.0,6.94,4.29,1,1504,2.267,56.034,67.613,41.499,46.125,5.3181,0,0,1,0.7095151255359864
2025,OT,OL,Purdue,Big Ten,76.125,303,10.5,32.0,80.0,4.28,34.4,11,93.0,8.19,4.67,1,1061,-13.836,20.419,29.645,21.338,52.981,4.654,0,0,1,0.7022728144441457
2025,CB,Secondary,Rutgers,Big Ten,71.0,175,8.5,31.5,76.5,4.39,33.87,11,134.0,6.65,4.03,1,1533,3.857,55.405,64.09,40.753,58.771,3.8501,0,0,1,0.7713686622652469
2023,QB,Skill,Alabama,SEC,70.125,204,9.75,30.125,73.5,4.6,33.5,20,118.0,7.07,4.34,0,2181,27.296,89.526,85.539,81.093,61.676,5.553,1,0,1,0.7378373782441513
2025,CB,Secondary,Florida,SEC,72.375,194,9.25,30.25,75.625,4.49,34.86,11,125.0,6.65,4.03,1,1767,11.901,71.717,58.466,70.419,67.15,4.6913,0,0,1,0.752483347678956
2025,OT,OL,Texas,SEC,77.75,317,11.375,34.5,84.5,4.28,43.0,33,93.0,8.19,4.03,0,2042,26.107,88.25,73.85,92.32,35.538,3.9512,0,0,1,0.8306869589324246
2025,CB,Secondary,Kansas,Big 12,72.625,192,8.5,31.5,77.875,4.59,34.5,18,123.0,7.27,4.97,1,1625,8.755,66.926,75.105,52.224,46.186,0.0,0,0,0,0.23316854993718655
2023,QB,Skill,BYU,FBS Independent,72.0,207,9.5,29.75,71.875,4.6,34.0,20,119.0,7.08,4.35,0,1526,0.819,50.481,70.378,34.793,40.904,4.5539,0,0,1,0.6587121942003898
2025,DL,DL,Georgia Tech,ACC,77.5,321,10.25,34.75,85.125,5.14,34.5,11,111.0,6.65,4.03,1,1554,7.402,66.705,72.242,58.501,35.797,1.7918,0,0,1,0.7367900424208237
2025,TE,Skill,Pittsburgh,ACC,76.625,246,9.75,31.375,78.375,4.7,24.5,33,115.5,8.19,4.97,1,1456,3.991,55.816,49.345,57.768,56.475,4.0431,0,0,1,0.702307703701623
2023,IOL,OL,LSU,SEC,76.0,332,9.5,33.5,80.375,5.08,30.0,20,106.0,7.84,4.8,1,1871,17.436,78.295,78.649,74.431,26.438,5.0173,0,0,1,0.7021270530364925
2023,LB,LB,Texas,Big 12,74.625,229,9.5,32.25,78.125,4.56,34.0,15,124.0,6.62,4.33,1,1900,19.379,79.1,73.758,70.57,66.449,5.1299,1,0,1,0.7702604575284263
2024,EDGE,DL,Mississippi,SEC,75.0,260,9.875,33.5,79.375,4.63,38.0,25,122.0,7.15,4.27,1,1737,15.302,75.391,76.693,64.536,49.591,3.8067,0,0,1,0.7596996367759824
2025,LB,LB,North Carolina,ACC,71.125,237,9.125,30.5,75.625,4.73,37.0,27,115.0,7.6,4.56,1,1496,2.602,50.555,55.402,46.067,47.749,0.0,0,0,0,0.3076546406882558
2024,IOL,OL,Ohio St.,Big Ten,75.5,316,9.0,32.625,80.5,5.21,28.0,27,103.0,8.19,4.74,1,2065,27.485,89.569,83.397,86.658,44.2,0.0,1,0,0,0.3856121957306308
2024,LB,LB,Wyoming,Mountain West,72.375,232,9.25,30.375,72.5,4.73,31.5,18,109.0,7.28,3.83,1,1494,-2.253,52.814,49.133,53.897,53.403,0.0,0,0,0,0.22809782461643335
2023,EDGE,DL,Iowa St.,Big 12,74.5,269,9.25,33.75,82.0,4.68,33.0,20,117.0,7.43,4.52,1,1554,6.28,57.494,40.857,78.383,33.853,0.0,0,0,0,0.3028433348631974
2025,EDGE,DL,South Carolina,SEC,76.0,254,9.625,34.0,81.5,4.73,30.43,23,138.0,6.65,4.97,1,1810,14.834,76.206,60.762,80.864,51.02,4.8978,0,0,1,0.7927549683224223
2023,TE,Skill,Oregon St.,Pac-12,77.875,253,10.375,32.625,79.5,4.61,36.0,21,125.0,6.75,4.25,1,1793,12.157,76.446,63.005,76.701,62.14,5.3799,0,0,1,0.772409250174693
2024,TE,Skill,Michigan,Big Ten,78.0,251,9.0,33.375,81.875,4.65,35.0,28,119.0,7.07,4.32,0,2210,27.625,94.395,88.226,91.352,54.858,4.9273,0,0,1,0.8077781805401549
2023,DL,DL,Texas,Big 12,73.625,332,9.125,31.5,76.625,5.22,27.5,24,101.0,7.75,4.79,1,1900,19.379,79.1,73.758,70.57,66.449,4.1744,1,0,1,0.741845282948177
2024,RB,Skill,Alabama,SEC,70.375,221,10.25,31.125,75.5,4.54,36.0,20,121.0,7.09,4.25,1,2032,24.925,84.968,76.211,80.844,61.941,4.2905,0,0,1,0.7595856780370989
2025,CB,Secondary,Oregon,Big Ten,69.125,182,9.0,28.5,71.375,4.41,35.37,13,115.7,7.01,4.19,1,2040,21.125,85.854,85.403,73.779,53.859,0.0,1,0,0,0.48006661329617756
2024,IOL,OL,Michigan,Big Ten,75.875,305,10.125,33.0,80.0,5.17,27.0,27,109.0,7.78,4.87,1,2210,27.625,94.395,88.226,91.352,54.858,0.0,0,0,0,0.3975772350437091
2025,QB,Skill,Miami,ACC,73.625,219,9.0,30.5,75.75,4.28,43.0,22,138.0,8.19,4.97,0,1855,17.338,77.097,87.084,52.889,41.286,5.553,1,1,1,0.8148365154003362
2023,OT,OL,Kansas,Big 12,77.75,309,9.5,34.125,80.75,5.05,31.0,20,111.0,7.6,4.69,1,1373,3.37,60.21,82.028,38.063,37.048,0.0,0,0,0,0.29019493690572584
2024,CB,Secondary,Michigan,Big Ten,69.375,182,8.5,30.875,74.5,4.47,40.0,14,131.0,6.99,4.01,1,2210,27.625,94.395,88.226,91.352,54.858,5.3423,0,0,1,0.8008452563899114
2023,LB,LB,Louisville,ACC,72.625,237,9.25,32.375,79.125,4.47,36.5,26,129.0,7.38,4.32,1,1753,10.719,70.137,54.895,74.832,58.102,4.8122,0,0,1,0.8110094136865512
2024,EDGE,DL,Clemson,ACC,74.25,244,9.125,32.875,78.25,4.62,32.5,26,120.0,7.48,4.89,1,1764,13.892,72.489,48.101,90.04,37.087,4.7958,1,0,1,0.7817082440162879
2023,EDGE,DL,Oklahoma St.,Big 12,76.0,279,10.875,33.25,78.375,5.11,28.5,30,116.0,7.6,4.52,1,1545,6.663,60.448,45.4,65.478,66.939,4.8598,0,0,1,0.7211027031094469
2023,RB,Skill,Kansas St.,Big 12,65.0,179,9.5,27.75,67.0,4.36,35.5,20,116.0,7.69,5.1,1,1861,14.823,77.392,70.169,73.461,57.448,3.8501,0,1,1,0.7340993202162366
2025,OT,OL,Kansas,Big 12,78.375,311,10.0,33.75,84.0,5.18,32.0,26,111.0,7.75,4.51,1,1625,8.755,66.926,75.105,52.224,46.186,0.0,0,0,0,0.3037600936367366
2024,C,OL,Michigan St.,Big Ten,76.0,307,9.75,32.75,79.0,5.17,31.5,27,107.0,7.41,4.29,0,1338,-3.512,38.745,32.821,44.666,62.478,3.434,0,0,1,0.6932485480061246
2025,OT,OL,Oregon,Big Ten,76.625,311,10.375,33.5,82.25,5.05,34.5,33,103.0,6.65,4.05,1,2040,21.125,85.854,85.403,73.779,53.859,5.4381,1,1,1,0.9072612117624116
2024,CB,Secondary,Mississippi St.,SEC,74.25,188,8.875,32.375,77.875,4.34,35.0,15,128.0,6.94,4.71,1,1421,0.859,45.573,31.326,62.302,47.192,4.9904,0,0,1,0.752952767565386
2023,QB,Skill,Louisville,ACC,71.75,192,9.5,31.375,75.375,4.53,32.5,20,117.0,7.18,4.33,1,1753,10.719,70.137,54.895,74.832,58.102,0.0,0,0,0,0.3224164921456323
2024,IOL,OL,Michigan,Big Ten,77.375,310,10.0,32.375,78.375,5.24,30.5,26,107.0,7.76,4.63,1,2210,27.625,94.395,88.226,91.352,54.858,4.4659,0,0,1,0.7518444188042394
2024,IOL,OL,Boston Col.,ACC,75.375,314,10.5,33.5,81.625,5.13,32.5,29,109.0,7.81,4.53,1,1345,-5.102,38.527,51.282,29.636,49.017,3.8918,0,0,1,0.6882079591364946
2025,WR,Skill,Miami,ACC,74.25,200,9.38,31.5,77.875,4.44,41.5,14,127.0,6.65,4.77,1,1855,17.338,77.097,87.084,52.889,41.286,0.0,1,0,0,0.42506146629444325
2023,RB,Skill,Pittsburgh,ACC,70.0,216,8.25,32.0,76.0,4.54,34.5,20,121.0,6.94,4.42,0,1687,7.918,61.732,46.268,72.6,50.534,4.7536,0,0,1,0.7106279413816315
2023,CB,Secondary,Illinois,Big Ten,71.0,194,9.625,31.125,77.375,4.46,44.0,15,133.0,6.79,4.58,1,1749,9.857,68.781,50.92,80.746,45.222,5.3566,0,0,1,0.8621296629504243
2024,LB,LB,Missouri,SEC,73.75,231,8.875,31.375,77.75,4.62,34.0,18,118.0,7.23,4.5,0,1866,15.277,78.168,79.322,67.958,47.09,5.124,0,0,1,0.69738148887176
2025,EDGE,DL,Minnesota,Big Ten,76.25,262,9.375,34.0,82.5,4.6,30.0,33,89.1,7.33,4.68,1,1674,9.315,68.599,55.808,75.809,45.723,0.0,0,0,0,0.37073172897454015
2025,S,Secondary,Iowa,Big Ten,71.25,203,10.5,30.625,74.375,4.59,30.5,11,117.0,7.11,4.34,1,1774,11.144,70.238,48.063,74.759,71.573,0.0,0,0,0,0.32704874293586234
2023,C,OL,Troy,Sun Belt,74.75,305,10.0,32.875,78.0,5.15,26.0,20,102.0,8.06,4.73,1,1585,1.884,59.594,42.6,71.337,48.834,5.0239,0,0,1,0.6829701657190443
2024,DL,DL,Clemson,ACC,74.0,301,9.25,31.375,75.0,5.02,28.5,29,108.0,7.93,5.0,1,1764,13.892,72.489,48.101,90.04,37.087,4.1431,1,0,1,0.7733516231030447
2024,WR,Skill,Tulane,AAC,69.125,188,8.875,30.875,74.875,4.42,32.0,12,118.0,6.9,4.2,1,1598,3.05,60.759,46.835,66.943,59.144,4.3438,0,0,1,0.7219173667018832
2023,CB,Secondary,Kansas St.,Big 12,74.75,198,9.625,34.0,82.625,4.53,41.5,15,138.0,6.63,4.05,1,1861,14.823,77.392,70.169,73.461,57.448,5.3706,0,1,1,0.8376429479311193
2024,EDGE,DL,Michigan,Big Ten,77.25,257,10.0,33.125,80.25,4.66,34.5,23,121.0,7.22,4.43,0,2210,27.625,94.395,88.226,91.352,54.858,0.0,0,0,0,0.48796263553148783
2025,EDGE,DL,Ole Miss,SEC,76.375,244,9.625,33.875,82.125,4.72,38.0,29,126.0,7.33,4.46,1,2007,20.608,84.235,76.596,81.866,47.73,5.204,1,1,1,0.8802001149291652
2023,RB,Skill,Alabama,SEC,69.125,199,9.25,30.5,74.125,4.36,33.5,20,120.0,7.32,4.77,1,2181,27.296,89.526,85.539,81.093,61.676,5.5094,1,0,1,0.7598155762062259
2024,DL,DL,Duke,ACC,74.375,302,10.25,33.0,79.125,4.99,32.0,27,109.0,7.95,4.75,1,1654,8.778,68.7,63.774,63.667,60.347,5.0999,0,0,1,0.7321416425123586
2023,DL,DL,Florida,SEC,77.625,310,9.5,32.25,80.875,4.88,31.0,22,110.0,7.5,4.73,1,1581,7.555,60.994,69.396,49.078,49.533,5.3279,0,0,1,0.6587848760570151
2025,EDGE,DL,Central Arkansas,UAC,72.875,263,9.25,31.875,77.5,4.69,35.0,26,118.0,7.15,4.39,1,1742,12.036,70.585,65.506,67.645,49.236,4.9273,0,0,1,0.7446689833865386
2023,CB,Secondary,Penn St.,Big Ten,74.5,193,10.0,34.0,80.875,4.46,35.0,17,129.0,6.51,4.28,1,2000,19.477,82.964,71.335,83.462,50.595,5.425,0,1,1,0.8591899330536992
2024,RB,Skill,Arizona,Pac-12,70.5,210,9.25,30.0,74.125,4.51,33.5,22,119.0,6.93,4.43,1,1822,11.44,73.172,77.614,56.651,58.122,0.0,0,0,0,0.3288384572025721
2024,K,Special Teams,Stanford,Pac-12,73.875,207,9.125,31.5,76.375,4.5,37.0,17,124.0,6.93,4.22,0,1180,-9.769,32.24,38.784,28.157,64.11,3.912,0,0,1,0.6908978448915332
2023,EDGE,DL,Mississippi St.,SEC,74.0,263,9.0,32.875,78.5,4.65,28.5,23,113.0,7.12,4.54,1,1694,13.237,75.362,59.938,76.598,66.986,0.0,0,0,0,0.3216851578761893
2024,TE,Skill,Florida St.,ACC,74.0,241,10.0,33.0,78.75,4.61,35.0,28,124.0,7.01,4.34,1,1789,19.915,83.68,70.051,84.429,58.266,3.3322,0,0,1,0.7980682751838751
2023,CB,Secondary,Boise St.,Mountain West,74.0,195,9.625,33.75,80.375,4.52,32.0,18,119.0,7.1,4.48,1,1712,3.797,52.954,41.976,64.425,46.27,0.0,0,0,0,0.2755490025934438
2024,OT,OL,TCU,Big 12,78.875,315,9.5,34.0,81.0,5.36,25.5,21,94.0,7.95,4.93,1,1631,9.511,59.244,64.411,51.426,45.245,0.0,0,0,0,0.2236535566672672
2025,CB,Secondary,Minnesota,Big Ten,70.125,190,10.0,30.625,74.875,4.4,33.33,11,122.9,6.65,4.97,1,1674,9.315,68.599,55.808,75.809,45.723,5.1874,0,0,1,0.7818911265925514
2025,EDGE,DL,Syracruse,ACC,76.375,257,10.375,33.375,79.125,4.57,30.5,24,121.0,8.19,4.03,1,1499,3.99,59.911,72.144,44.673,32.891,1.6094,0,0,1,0.6525186200608193
2024,DL,DL,Auburn,SEC,74.375,286,9.625,32.0,78.25,5.06,29.5,27,103.0,6.81,4.6,1,1585,8.916,67.536,49.076,72.965,65.063,2.4849,0,0,1,0.7473661720845474
2023,WR,Skill,BYU,FBS Independent,74.0,201,9.5,32.125,74.875,4.5,36.5,17,126.0,6.94,4.29,0,1526,0.819,50.481,70.378,34.793,40.904,4.4067,0,0,1,0.658886061264863
2024,RB,Skill,Monmouth,CAA,68.0,187,9.25,28.75,69.625,4.45,34.5,22,117.0,6.6,4.21,1,1750,11.347,69.843,69.473,63.234,45.477,0.0,0,0,0,0.36214765465897897
